Product,Price,RAM,ROM,Display,Back_camera,Front_camera,Processor,Battery,Rating
"Infinix Hot 9 Pro (Violet, 64 GB)","₹9,499",4 GB RAM , 64 GB ROM ,16.76 ,48 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio P22 (64 bit) Processor,5000 ,4.4
"Realme Narzo 10 (That Green, 128 GB)","₹11,999",4 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G80 (12 nm) Processor,5000 ,4.5
"OPPO A31 (Lake Green, 128 GB)","₹11,990",6 GB RAM , 128 GB ROM ,16.51 ,12MP + 2MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Octa Core Processor,4230 ,4.3
"POCO M2 (Pitch Black, 128 GB)","₹11,499",6 GB RAM , 128 GB ROM ,16.59 ,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,MediaTek Helio G80 Processor,5000 ,4.4
"Realme C3 (Frozen Blue, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.56 ,12MP + 2MP , 5MP Front Camera,Helio G70 Processor,5000 ,4.4
"Realme C3 (Blazing Red, 32 GB)","₹7,999",3 GB RAM , 32 GB ROM ,16.56 ,12MP + 2MP , 5MP Front Camera,Helio G70 Processor,5000 ,4.4
"POCO M2 Pro (Green and Greener, 128 GB)","₹15,999",6 GB RAM , 128 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"OPPO F15 (Unicorn White, 128 GB)","₹14,990",4 GB RAM , 128 GB ROM ,16.26 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.5
"OPPO F15 (Unicorn White, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.26 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.4
"OPPO F15 (Lightening Black, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.26 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.4
"OPPO F15 (Blazing Blue, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.26 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.4
"Infinix Hot 9 Pro (Quetzal Cyan, 64 GB)","₹9,499",4 GB RAM , 64 GB ROM ,16.76 ,48 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio P22 (64 bit) Processor,5000 ,4.4
"POCO M2 Pro (Out of the Blue, 64 GB)","₹13,999",4 GB RAM , 64 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
Lava A1,₹897,24 MB RAM , 24 MB ROM ,4.5 ,0.3MP Rear Camera,,1 Year Warranty,800 ,4.2
"OPPO Reno2 F (Lake Green, 256 GB)","₹16,990",6 GB RAM , 256 GB ROM,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.4
"Apple iPhone XR (Blue, 64 GB)","₹44,999",,64 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
