,Unnamed: 0,Product,RAM,ROM,Display,Back_camera,Processor,Battery
22,74,"POCO M2 Pro (Green and Greener, 64 GB)",6,64,16.94,48,720,5000
23,77,"POCO M2 Pro (Out of the Blue, 128 GB)",6,128,16.94,48,720,5000
24,79,"Redmi Note 8 (Neptune Blue, 64 GB)",4,64,16.0,48,665,4000
25,80,"POCO X2 (Atlantis Blue, 128 GB)",6,128,16.94,64,730,4500
26,81,"POCO X3 (Cobalt Blue, 128 GB)",8,128,16.94,64,732,6000
27,82,"POCO X3 (Shadow Gray, 128 GB)",6,128,16.94,64,732,6000
28,88,"Redmi 8A Dual (Sea Blue, 32 GB)",2,32,15.8,13,439,5000
29,89,"POCO X2 (Matrix Purple, 128 GB)",6,128,16.94,64,730,4500
30,90,"OPPO A9 2020 (Marine Green, 128 GB)",8,128,16.51,48,665,5000
31,91,"OPPO A9 2020 (Space Purple, 128 GB)",4,128,16.51,48,665,5000
32,103,"POCO M2 Pro (Two Shades of Black, 128 GB)",6,128,16.94,48,720,5000
33,120,"POCO M2 Pro (Green and Greener, 128 GB)",6,128,16.94,48,720,5000
34,126,"POCO M2 Pro (Out of the Blue, 64 GB)",4,64,16.94,48,720,5000
35,132,"OPPO A9 2020 (Marine Green, 128 GB)",4,128,16.51,48,665,5000
36,137,"Redmi Note 8 (Cosmic Purple, 64 GB)",4,64,16.0,48,665,4000
37,139,"Realme 5i (Forest Green, 64 GB)",4,64,16.56,12,665,5000
38,140,"Realme 5i (Aqua Blue, 128 GB)",4,128,16.56,12,665,5000
39,144,"Realme 7 Pro (Sun Kissed Leather, 128 GB)",6,128,16.26,64,720,4500
40,145,"Realme 7 Pro (Mirror Blue, 128 GB)",6,128,16.26,64,720,4500
41,146,"Realme 7 Pro (Mirror Silver, 128 GB)",6,128,16.26,64,720,4500
42,147,"Realme 7 Pro (Mirror Blue, 128 GB)",8,128,16.26,64,720,4500
43,151,"POCO X2 (Atlantis Blue, 64 GB)",6,64,16.94,64,730,4500
44,154,"Motorola E7 Plus (Misty Blue, 64 GB)",4,64,16.51,48,460,5000
45,155,"Redmi 8A Dual (Sky White, 32 GB)",2,32,15.8,13,439,5000
46,156,"Motorola G9 (Sapphire Blue, 64 GB)",4,64,16.51,48,662,5000
47,157,"Realme 5i (Aqua Blue, 64 GB)",4,64,16.56,12,665,5000
48,158,"Realme 7 Pro (Mirror Silver, 128 GB)",8,128,16.26,64,720,4500
49,162,"Motorola G9 (Forest Green, 64 GB)",4,64,16.51,48,662,5000
50,163,"Vivo S1 Pro (Dreamy White, 128 GB)",8,128,16.21,48,665,4500
51,164,"Google Pixel 4a (Just Black, 128 GB)",6,128,14.76,12,730,3140
52,166,"Redmi 8A Dual (Midnight Grey, 32 GB)",2,32,15.8,13,439,5000
53,169,"OPPO A52 (Twilight Black, 128 GB)",6,128,16.51,12,665,5000
